Начало дня 220, маневрируем с dV = -0,22к КО с номером 12
222|12|25.11.2016 0:26:47
Начало дня 223, маневрируем с dV = 0,23к КО с номером 11
225|11|25.11.2016 0:26:51
229|8|25.11.2016 0:26:55
Начало дня 235, маневрируем с dV = -0,34к КО с номером 98
237|98|25.11.2016 0:27:07
Начало дня 238, маневрируем с dV = 0,36к КО с номером 96
239|96|25.11.2016 0:27:10
Начало дня 241, маневрируем с dV = -0,67к КО с номером 190
243|190|25.11.2016 0:27:14
Начало дня 247, маневрируем с dV = 0,31к КО с номером 160
247|160|25.11.2016 0:27:21
Начало дня 253, маневрируем с dV = 0,18к КО с номером 30
255|30|25.11.2016 0:27:30
Начало дня 256, маневрируем с dV = -0,84к КО с номером 203
257|203|25.11.2016 0:27:36
261|148|25.11.2016 0:27:40
261|48|25.11.2016 0:27:40
Начало дня 262, маневрируем с dV = -0,56к КО с номером 124
263|124|25.11.2016 0:27:44
Начало дня 265, маневрируем с dV = -0,14к КО с номером 196
267|196|25.11.2016 0:27:48
Начало дня 268, маневрируем с dV = -0,79к КО с номером 143
270|143|25.11.2016 0:27:52
279|3|25.11.2016 0:28:01
Начало дня 280, маневрируем с dV = 0,79к КО с номером 56
282|56|25.11.2016 0:28:04
289|4|25.11.2016 0:28:12
294|145|25.11.2016 0:28:15
Начало дня 298, маневрируем с dV = 0,33к КО с номером 126
299|126|25.11.2016 0:28:20
316|167|25.11.2016 0:28:32
329|183|25.11.2016 0:28:41
Начало дня 340, маневрируем с dV = 0,28к КО с номером 97
341|97|25.11.2016 0:28:51
Итого сфотографировано: 178 КО
Запас характеристической скорости: 92,14 м/с
