Начало дня 211, маневрируем с dV = -9,60к КО с номером 10
211|10|21.11.2016 22:51:11
213|72|21.11.2016 22:51:12
216|148|21.11.2016 22:51:15
Начало дня 217, маневрируем с dV = -6,98к КО с номером 12
217|12|21.11.2016 22:51:18
223|144|21.11.2016 22:51:23
228|6|21.11.2016 22:51:28
231|8|21.11.2016 22:51:32
231|68|21.11.2016 22:51:32
232|3|21.11.2016 22:51:32
233|162|21.11.2016 22:51:32
236|131|21.11.2016 22:51:35
241|54|21.11.2016 22:51:39
245|7|21.11.2016 22:51:42
250|97|21.11.2016 22:51:46
Начало дня 253, маневрируем с dV = -6,25к КО с номером 124
253|124|21.11.2016 22:51:50
257|145|21.11.2016 22:51:52
258|47|21.11.2016 22:51:52
261|122|21.11.2016 22:51:56
263|186|21.11.2016 22:51:58
266|126|21.11.2016 22:52:00
267|102|21.11.2016 22:52:01
Начало дня 268, маневрируем с dV = -4,53к КО с номером 56
268|56|21.11.2016 22:52:03
Начало дня 271, маневрируем с dV = -5,54к КО с номером 190
271|190|21.11.2016 22:52:06
Начало дня 274, маневрируем с dV = 0,27к КО с номером 203
276|203|21.11.2016 22:52:09
279|98|21.11.2016 22:52:10
281|96|21.11.2016 22:52:12
Начало дня 283, маневрируем с dV = -4,89к КО с номером 167
285|167|21.11.2016 22:52:15
288|50|21.11.2016 22:52:16
Начало дня 295, маневрируем с dV = -0,89к КО с номером 30
297|30|21.11.2016 22:52:21
Начало дня 313, маневрируем с dV = 4,61к КО с номером 196
313|196|21.11.2016 22:52:29
Начало дня 328, маневрируем с dV = 1,58к КО с номером 158
330|158|21.11.2016 22:52:37
Начало дня 355, маневрируем с dV = -5,41к КО с номером 24
356|24|21.11.2016 22:52:50
Итого сфотографировано: 191 КО
Запас характеристической скорости: 35,85 м/с
