Начало дня 220, маневрируем с dV = -0,22к КО с номером 12
222|12|25.11.2016 9:20:27
Начало дня 223, маневрируем с dV = 0,23к КО с номером 11
225|11|25.11.2016 9:20:32
229|8|25.11.2016 9:20:36
Начало дня 235, маневрируем с dV = -0,34к КО с номером 98
237|98|25.11.2016 9:20:44
Начало дня 238, маневрируем с dV = 0,36к КО с номером 96
239|96|25.11.2016 9:20:47
Начало дня 241, маневрируем с dV = -0,67к КО с номером 190
243|190|25.11.2016 9:20:51
Начало дня 247, маневрируем с dV = 0,31к КО с номером 160
247|160|25.11.2016 9:20:58
Начало дня 253, маневрируем с dV = 0,18к КО с номером 30
255|30|25.11.2016 9:21:07
Начало дня 256, маневрируем с dV = -0,84к КО с номером 203
257|203|25.11.2016 9:21:11
261|148|25.11.2016 9:21:14
261|48|25.11.2016 9:21:14
Начало дня 262, маневрируем с dV = -0,56к КО с номером 124
263|124|25.11.2016 9:21:17
Начало дня 265, маневрируем с dV = -0,14к КО с номером 196
267|196|25.11.2016 9:21:21
Начало дня 268, маневрируем с dV = -0,79к КО с номером 143
270|143|25.11.2016 9:21:24
279|3|25.11.2016 9:21:31
Начало дня 280, маневрируем с dV = 0,79к КО с номером 56
282|56|25.11.2016 9:21:33
289|4|25.11.2016 9:21:40
294|145|25.11.2016 9:21:42
Начало дня 298, маневрируем с dV = 0,33к КО с номером 126
299|126|25.11.2016 9:21:47
316|167|25.11.2016 9:22:01
329|183|25.11.2016 9:22:10
Начало дня 340, маневрируем с dV = 0,28к КО с номером 97
341|97|25.11.2016 9:22:19
Итого сфотографировано: 178 КО
Запас характеристической скорости: 92,14 м/с
